region,assessment,year,use_idcntry_raw_str,idcntry_raw,idcntry_raw_str,national_level,countrycode,notes
SSA,AMPLB,2019,1,1,1,1,KEN,
SSA,AMPLB,2019,1,14,14,1,ZMB,
SSA,AMPLB,2019,1,2,2,1,BFA,
SSA,AMPLB,2019,1,3,3,1,BDI,
SSA,AMPLB,2019,1,6,6,1,CIV,
SSA,AMPLB,2019,1,12,12,1,SEN,
SSA,AMPLB,2021,1,10800,BDI,1,BDI,
SSA,AMPLB,2021,1,3840,BFA,1,BFA,
SSA,AMPLB,2021,1,40400,CIV,1,CIV,
SSA,AMPLB,2021,1,68600,KEN,1,KEN,
SSA,AMPLB,2021,1,85400,SEN,1,SEN,
SSA,AMPLB,2021,1,89400,ZMB,1,ZMB,
EAP,SEA-PLM,2019,1,,KHM,1,KHM,
EAP,SEA-PLM,2019,1,,LAO,1,LAO,
EAP,SEA-PLM,2019,1,,MMR,1,MMR,
EAP,SEA-PLM,2019,1,,MYS,1,MYS,
EAP,SEA-PLM,2019,1,,PHL,1,PHL,
EAP,SEA-PLM,2019,1,,VNM,1,VNM,
LAC,LLECE,1997,0,10,,1,ARG,
LAC,LLECE,1997,0,11,,1,BOL,
LAC,LLECE,1997,0,12,,1,BRA,
LAC,LLECE,1997,0,13,,1,CHL,
LAC,LLECE,1997,0,14,,1,COL,
LAC,LLECE,1997,0,15,,1,CRI,
LAC,LLECE,1997,0,16,,1,CUB,
LAC,LLECE,1997,0,20,,1,HND,
LAC,LLECE,1997,0,21,,1,MEX,"Mexico, country"
LAC,LLECE,1997,0,22,,1,PRY,
LAC,LLECE,1997,0,23,,1,PER,
LAC,LLECE,1997,0,24,,1,DOM,
LAC,LLECE,1997,0,25,,1,VEN,
LAC,LLECE,2006,0,1,,1,ARG,
LAC,LLECE,2006,0,3,,1,BRA,
LAC,LLECE,2006,0,4,,1,COL,
LAC,LLECE,2006,0,5,,1,CRI,
LAC,LLECE,2006,0,6,,1,CUB,
LAC,LLECE,2006,0,7,,1,CHL,
LAC,LLECE,2006,0,8,,1,ECU,
LAC,LLECE,2006,0,9,,1,SLV,
LAC,LLECE,2006,0,11,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE,2006,0,12,,1,GTM,
LAC,LLECE,2006,0,14,,1,MEX,
LAC,LLECE,2006,0,16,,1,NIC,
LAC,LLECE,2006,0,17,,1,PAN,
LAC,LLECE,2006,0,18,,1,PRY,
LAC,LLECE,2006,0,19,,1,PER,
LAC,LLECE,2006,0,20,,1,DOM,
LAC,LLECE,2006,0,21,,1,URY,
LAC,LLECE,2013,0,32,,1,ARG,
LAC,LLECE,2013,0,76,,1,BRA,
LAC,LLECE,2013,0,152,,1,CHL,
LAC,LLECE,2013,0,170,,1,COL,
LAC,LLECE,2013,0,188,,1,CRI,
LAC,LLECE,2013,0,214,,1,DOM,
LAC,LLECE,2013,0,218,,1,ECU,
LAC,LLECE,2013,0,320,,1,GTM,
LAC,LLECE,2013,0,340,,1,HND,
LAC,LLECE,2013,0,484,,1,MEX,"Mexico, country"
LAC,LLECE,2013,0,558,,1,NIC,
LAC,LLECE,2013,0,591,,1,PAN,
LAC,LLECE,2013,0,600,,1,PRY,
LAC,LLECE,2013,0,604,,1,PER,
LAC,LLECE,2013,0,858,,1,URY,
LAC,LLECE,2013,0,4841,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE-T,2013,0,32,,1,ARG,
LAC,LLECE-T,2013,0,76,,1,BRA,
LAC,LLECE-T,2013,0,152,,1,CHL,
LAC,LLECE-T,2013,0,170,,1,COL,
LAC,LLECE-T,2013,0,188,,1,CRI,
LAC,LLECE-T,2013,0,214,,1,DOM,
LAC,LLECE-T,2013,0,218,,1,ECU,
LAC,LLECE-T,2013,0,320,,1,GTM,
LAC,LLECE-T,2013,0,340,,1,HND,
LAC,LLECE-T,2013,0,484,,1,MEX,"Mexico, country"
LAC,LLECE-T,2013,0,558,,1,NIC,
LAC,LLECE-T,2013,0,591,,1,PAN,
LAC,LLECE-T,2013,0,600,,1,PRY,
LAC,LLECE-T,2013,0,604,,1,PER,
LAC,LLECE-T,2013,0,858,,1,URY,
LAC,LLECE-T,2013,0,4841,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE-T,2019,0,32,,1,ARG,
LAC,LLECE-T,2019,0,76,,1,BRA,
LAC,LLECE-T,2019,0,170,,1,COL,
LAC,LLECE-T,2019,0,188,,1,CRI,
LAC,LLECE-T,2019,0,192,,1,CUB,
LAC,LLECE-T,2019,0,214,,1,DOM,
LAC,LLECE-T,2019,0,218,,1,ECU,
LAC,LLECE-T,2019,0,320,,1,GTM,
LAC,LLECE-T,2019,0,340,,1,HND,
LAC,LLECE-T,2019,0,484,,1,MEX,"Mexico, country"
LAC,LLECE-T,2019,0,558,,1,NIC,
LAC,LLECE-T,2019,0,591,,1,PAN,
LAC,LLECE-T,2019,0,600,,1,PRY,
LAC,LLECE-T,2019,0,604,,1,PER,
LAC,LLECE-T,2019,0,222,,1,SLV,
LAC,LLECE-T,2019,0,858,,1,URY,
SSA,PASEC,1996,1,,BFA,1,BFA,
SSA,PASEC,1996,1,,Burkina Faso,1,BFA,
SSA,PASEC,1996,1,,Burundi,1,BDI,
SSA,PASEC,1996,1,,Bénin,1,BEN,
SSA,PASEC,1996,1,,Cameroun,1,CMR,
SSA,PASEC,1996,1,,Comores,1,COM,
SSA,PASEC,1996,1,,Congo,1,COG,
SSA,PASEC,1996,1,,Cote dIvoire,1,CIV,
SSA,PASEC,1996,1,,GAB,1,GAB,
SSA,PASEC,1996,1,,Gabon,1,GAB,
SSA,PASEC,1996,1,,Madagascar,1,MDG,
SSA,PASEC,1996,1,,Mali,1,MLI,
SSA,PASEC,1996,1,,Maurice,1,MUS,
SSA,PASEC,1996,1,,Mauritanie,1,MRT,
SSA,PASEC,1996,1,,Niger,1,NER,
SSA,PASEC,1996,1,,RDC,1,COD,
